Business,Address,Google Maps,Yelp (unrated = 0),Street,Ward,ZIP Code
Dragoon Brewing Company,1859 W Grant Rd #111,4.7,4.5,Grant,1,85745
Rusty's Family Restaurant & Sports Grille,2075 W Grant Rd,4.4,3.6,Grant,1,85745
Bianchi's,1110 N Silverbell Rd,4.3,3.3,Silverbell,1,85745
Toto's Tacos Restaurant,1118 W St Marys Rd,4.6,4.4,St Marys,1,85745
Agustin Kitchen,100 South Avenida del Conento Ste 150,4.2,3.5,South Avenida del Convento,1,85745
Kettle Restaurant,748 W Starr Pass Blvd,4.1,3.6,Starr Pass,1,85713
Rodolfo's Taco Shop,1708 W Ajo Way,4.2,3.4,Ajo,1,85713
Lucky Wishbone,1465 W Silverlake Rd,4.4,2.9,Silverlake,1,85713
Oregano's,4884 S Landing Way,4.2,3.4,Landing,1,85714
Native Grill & Wings,5421 S Calle Santa Cruz,4.0,2.5,Calle Santa Cruz,1,85706
Pho Saigon,5475 S Calle Santa Cruz #141,4.0,3.1,Calle Santa Cruz,1,85706
Guadalajara's Grill & Tequila Bar,1610 W Valencia Rd #100,4.9,3.6,Valencia,1,85746
Albertsons,1350 N Silverbell Rd,4.4,3.1,Silverbell,1,85745
Hotel McCoy Tucson,720 W Silverlake Rd,4.7,4.6,Silverlake,1,85713
Food City,1740 W Ajo Way,4.1,2.2,Ajo,1,85713
Linda's Meat Market,1777 W 36th St,4.5,2.0,36th,1,85713
R & D Market,7280 S 12th Ave,4.3,0,12th,1,85756
Dollar General,1335 W Ajo Way,4.1,3.0,Ajo,1,85713
Sprouts Framers Market,4800 S Landing Way,4.5,3.9,Landing,1,85714
Signature Grill,3800 W Starr Pass Blvd,4.2,3.7,Starr Pass,1,85745
"Casa Valencia Mexican Seafood, Bar & Grill",1825 W Valencia Rd,4.3,3.2,Valencia,1,85746
Blake's Lotaburger,1600 W Valencia Rd,4.0,2.8,Valencia,1,85746
Ojos Locos Sports Cantina,4745 S Landing Way,3.9,2.6,Landing,1,85714
Little Mexico Restaurant,698 W Irvington Rd #3,4.2,3.5,Irvington,1,85714
Taqueria Porfis,3553 S 12th Ave #117,4.5,4.1,12th,1,85713
El Charro Cafe Downtown,311 N Court Ave,4.3,3.6,Court,1,85701
Maru Japanese Noodle Shop,1370 N Silverbell Rd #180,4.3,3.7,Silverbell,1,85745
Pat's Chili Dogs/Pat's Drive In,1202 W Niagara St,4.4,3.3,Niagara,1,85745
Mei Mei,1523 W St Marys Rd,4.4,4.0,St Marys,1,85745
Xeroscapes,"9683 E Country Ct, Tucson, AZ 85749",5,4.2,Tanque Verde,2,85749
Safeway,"9125 E Tanque Verde Rd, Tucson, AZ 85749",4.2,3,Tanque Verde,2,85749
Panda Express,"7111 E Tanque Verde Rd Suite #101, Tucson, AZ 85715",4.1,2.7,Tanque Verde,2,85715
Roadhouse Cinemas,"4811 E Grant Rd Suite 150, Tucson, AZ 85712",4.5,3.6,E Grant Rd,2,85712
Morris K Udall Park and Recreation Center,"7200 E Tanque Verde Rd, Tucson, AZ 85715",4.5,3.7,Tanque Verde,2,85715
Amellia's Mexican Kitchen,"5553 E Grant Rd, Tucson, AZ 85712",4.7,4.3,E Grant Rd,2,85712
Lowe's Home Improvement,"7105 E Speedway Blvd, Tucson, AZ 85710",4.2,2.4,E Speedway Blvd,2,85710
Mesquite Valley Growers Nursery,"8005 E Speedway Blvd, Tucson, AZ 85710",4.3,3.3,E Speedway Blvd,2,85710
All American Pest Conrol,"8825 E Speedway Blvd # 103, Tucson, AZ 85710",4.1,4.4,E Speedway Blvd,2,85710
HomeGoods,"7170 E Broadway Blvd, Tucson, AZ 85710",4.5,4.2,E Broadway Blvd,2,85710
La-Z Boy Home Furnishing,"7671 E Broadway Blvd, Tucson, AZ 85710",4.6,3.7,E Broadway Blvd,2,85710
Circle K,"7900 E Broadway Blvd, Tucson, AZ 85710",3.7,3,E Broadway Blvd,2,85710
Jethro's Cafe and Tavern,"8735 E Broadway Blvd, Tucson, AZ 85710",4.5,3.7,E Broadway Blvd,2,85710
Walmart Neighborhood Market,"8640 E Broadway Blvd, Tucson, AZ 85710",4.1,2.8,E Broadway Blvd,2,85710
Tucson Old Pueblo Credit Union,"9725 E Broadway Blvd, Tucson, AZ 85748",4,2.6,E Broadway Blvd,2,85748
Target,"9615 E Old Spanish Trail, Tucson, AZ 85748",4.4,3.4,E 22nd Street,2,85748
Chipotle Mexican Grill,"9484 E 22nd St, Tucson, AZ 85710",3.8,2.5,E 22nd Street,2,85710
First Chiropractic,"8560 E 22nd St Suite 100, Tucson, AZ 85710",5,4.4,E 22nd Street,2,85710
Ace Hardware,"6959 E 22nd St, Tucson, AZ 85710",4.7,4.3,E 22nd Street,2,85710
Chopshop Barbers,"7115 E Broadway Blvd, Tucson, AZ 85710",4.8,4.4,E Broadway Blvd,2,85710
Margarita Bay,"7415 E 22nd St, Tucson, AZ 85710",4.1,3.1,E 22nd Street,2,85710
Rozet Landscape Design & Rozet Nursery,"7707 E 22nd St, Tucson, AZ 85710",5,5,E 22nd Street,2,85710
Quicktrip,"1250 S Pantano Rd, Tucson, AZ 85710",3.6,,S Pantano Road,2,85710
Acme Sand & Gravel,"7777 E 22nd St building 3, Tucson, AZ 85710",4.2,3.9,E 22nd Street,2,85710
Casa del Rio,"1060 S Pantano Rd, Tucson, AZ 85710",4.2,3,S Pantano Road,2,85710
Surf Thru Express Car Wash,"35 S Pantano Rd, Tucson, AZ 85710",4.2,2.8,S Pantano Road,2,85710
McDonald's,"7090 E 22nd St, Tucson, AZ 85710",3.5,1.9,E 22nd Street,2,85710
Que Bonita,"6934 E Tanque Verde Rd, Tucson, AZ 85715",4.8,3.8,Tanque Verde,2,85715
Que Chulada,"6910 E Tanque Verde Rd, Tucson, AZ 85715",4,3.8,Tanque Verde,2,85715
Coronado's Mexican Food,"7115 E 22nd St, Tucson, AZ 85710",4.4,3.5,E 22nd Street,2,85710
Amellia's Mexican Kitchen,"5553 E Grant Rd, Tucson, AZ 85712",4.7,4.3,E Grant Rd,2,85712
Aspen Dental,"4356 N Oracle Rd Ste 140, Tucson, AZ 85705",4.3,2.4,N Oracle Rd,3,85705
The Cheesecake Factory,"60 W Wetmore Rd, Tucson, AZ 85705",4.3,3.3,W Wemore Rd,3,85705
McGuire's Jewlers,"230 E Wetmore Rd, Tucson, AZ 85705",4.9,4.4,E Wetmore Rd,3,85705
La Botana Tacos,"565 E Wetmore Rd Ste 155, Tucson, AZ 85705",4.6,4.3,E Wetmore Rd,3,85705
Buck's Automotive Service Center,"4360 N 1st Ave, Tucson, AZ 85719",4.7,4.1,N 1st Ave,3,85719
Sprout's Farmers Market,"4282 N 1st Ave, Tucson, AZ 85719",4.5,3.7,N 1st Ave,3,85719
L&L Hawaiian BBQ - Tucson,"4210 N 1st Ave suite 150, Tucson, AZ 85719",4.4,3.6,N 1st Ave,3,85719
Auto Wash Express,"3995 N 1st Ave, Tucson, AZ 85719",3.9,4.1,N 1st Ave,3,85719
Casa Pawn,"3939 N 1st Ave, Tucson, AZ 85719",4.9,3.5,N 1st Ave,3,85719
Potwhale Hotpot,"3620 N 1st Ave #154, Tucson, AZ 85719",4.6,4.3,N 1st Ave,3,85719
Los Beto's Mexican Food,"3567 N Oracle Rd, Tucson, AZ 85705",3.6,0,N Oracle Rd,3,85705
Wienerschnitzel,"3460 N Oracle Rd, Tucson, AZ 85705",4.1,2.9,N Oracle Rd,3,85705
La Michoacana - The Ice Cream Spot,"3344 N Oracle Rd, Tucson, AZ 85705",4.2,4.2,N Oracle Rd,3,85705
Car Time Supercenter,"3170 N Oracle Rd, Tucson, AZ 85705",4.7,2.7,N Oracle Rd,3,85705
Sky Smoke Shop,"201 W Fort Lowell Rd, Tucson, AZ 85705",4,2.4,W Fort Lowell Rd,3,85705
Amy's Donuts,"101 E Fort Lowell Rd, Tucson, AZ 85705",4.5,3.9,E Fort Lowell Rd,3,85705
Autohaus Tucson,"319 E Fort Lowell Rd, Tucson, AZ 85705",4.9,4.2,E Fort Lowell Rd,3,85705
Bead Holiday,"355 E Fort Lowell Rd, Tucson, AZ 85705",4.6,4.3,E Fort Lowell Rd,3,85705
Northside Lighting,"699 E Fort Lowell Rd, Tucson, AZ 85719",4,3.8,E Fort Lowell Rd,3,85719
Crypy's Fish N Chips,"736 E Fort Lowell Rd, Tucson, AZ 85719",4.2,3.6,E Fort Lowell Rd,3,85719
Tacos los Compas,"1245 E Fort Lowell Rd, Tucson, AZ 85719",4.8,4.8,E Fort Lowell Rd,3,85719
Rosa's Mexican Food Restaurant,"1750 E Fort Lowell Rd #164, Tucson, AZ 85719",4.2,3.6,E Fort Lowell Rd,3,85719
Popeyes Louisiana Kitchen,"3060 N Campbell Ave, Tucson, AZ 85719",3.8,2.1,N Campbell Ave,3,85719
Casa Molina del Norte,"3001 N Campbell Ave, Tucson, AZ 85719",4.2,3.1,N Campbell Ave,3,85719
Flower Child,"2960 N Campbell Ave Suite #110, Tucson, AZ 85719",4.3,4.2,N Campbell Ave,3,85719
Original Chop Shop,"2749 N Campbell Ave, Tucson, AZ 85719",4.7,3.9,N Campbell Ave,3,85719
Ni Hao Tea,"2800 N Campbell Ave Suite110, Tucson, AZ 85719",4.9,4.7,N Campbell Ave,3,85719
Sher-e-Punjab,"853 E Grant Rd, Tucson, AZ 85719",4.6,4.1,E Grant Rd,3,85719
Mandarin Grill,"505 E Grant Rd, Tucson, AZ 85705",4.2,3.2,E Grant Rd,3,85705
Chef Wang 状元楼,"356 E Grant Rd, Tucson, AZ 85705",4.4,3.8,E Grant Rd,3,85705
The Cheesecake Factory,"60 W Wetmore Rd, Tucson, AZ 85705",4.3,3.3,W Wemore Rd,3,85705
Rita Ranch Market,8201 S Rita Rd,3.9,2.9,Rita,4,85747
Luckie's Thai Asian Cuisine,8110 S Houghton Rd,4.4,3.9,Houghton,4,85747
Mr. Toro Carniceria,7545 S Houghton Rd,4.8,4.6,Houghton,4,85747
Civano Nursery,5301 S Houghton Rd,4.5,3.7,Houghton,4,85747
Los Nopales Restaurant,2475 S Harrison Rd,4.5,4.2,Harrison,4,85748
Le's Magic Nails,9470 E Golf Links Rd,4.3,2.6,Golf Links,4,85730
Wei Asian Cafe,9450 E Golf Links Rd,4.2,3.7,Golf Links,4,85730
Martin's Heating & Cooling,9604 E Watson Dr,5.0,5.0,Watson,4,85730
Brownings Irrigation and More,3721 S Cindy Ln,5.0,5.0,Cindy,4,85730
Woodbridge Photography,10040 E Falcon Point Dr,4.4,4.2,Falcon Point,4,85730
BlackRock Brewers,1664 S Research Loop,4.7,4.3,Research,4,85710
Los Bertos Mexican Food,7865 E Gold Links Rd,3.7,3.0,Golf Links,4,85730
Famous Sam's on Golf Links,7129 E Golf Links Rd,4.3,3.5,Golf Links,4,85730
K Donut Wheel,2775 S Wilmot Rd,4.7,4.4,Wilmot,4,85730
Wing Factory,6330 E Golf Links Rd,4.3,3.3,Golf Links,4,85730
Solid Grindz Hawaiian BBQ,6255 E Golf Links Rd,4.6,4.4,Golf Links,4,85711
Great Wall China,2445 S Craycroft Rd,4.0,2.9,Craycroft,4,85711
Mama Louisa's Italian Restaurant & Catering,2041 S Craftcroft Rd,4.3,3.4,Craycroft,4,85711
Nick's Sari-Sari Store,2001 S Craycroft Rd,4.5,4.1,Craycroft,4,85711
520 Tactical,5051 E 29th St,4.6,4.5,29th,4,85711
Precision Tool & Construction Supply,4857 E 29th St,4.7,5.0,29th,4,85711
Pull N Save,6671 E Littletown Rd,4.6,2.3,Littletown,4,85756
Fat Willy's,8701 S Kolb Rd,4.1,3.5,Kolb,4,85756
Rancho Rustico Restaurant,10275 E Old Vail Rd,4.4,3.8,Old Vail,4,85747
Papa Locos Tacos & Burgers,8201 S Rita Rd,4.4,4.2,Rita,4,85747
Taqueria 2 Hermanos,8270 S Houghton Rd,4.8,4.4,Houghton,4,85747
Serial Grillers,7585 S Houghton Rd,4.4,3.7,Houghton,4,85747
El Coronado Restaurant,7385 S Houghton Rd,4.1,3.3,Houghton,4,85747
Sa-Ing Thai Cuisine,9136 E Valencia Rd,4.6,4.2,Valencia,4,85747
Wings on Fire,9040 E Valencia Rd,4.6,4.4,Valencia,4,85747
Luckie's Thai Asian Cuisine,8110 S Houghton Rd,4.4,3.9,Houghton,4,85747
Barrio Brewing Co,800 E 16th St,4.6,4.1,16th,5,85719
Ramiro's Taco Shop,1350 E Broadway Blvd,4.3,4.3,Broadway,5,85719
Sushi-Cho Restaurant,1830 E Broadway Blvd,4.5,3.9,Broadway,5,85719
Ensenada Street Food,1602 S Park Ave,4.6,4.5,Park,5,85713
Maico Restaurant,835 E 22nd St,4.5,4.4,22nd,5,85713
Mariscos Chihuahua,2902 E 22nd St,4.4,3.8,22nd,5,85713
5 Points Market & Restaurant,756 S Stone Ave,4.5,4.3,Stone,5,85701
El Torero Restaurant,231 E 26th St,4.5,4.4,26th,5,85713
Guillermo's Double L,1830 S 4th Ave,4.4,3.2,4th,5,85713
Taqueria Pico de Gallo,2618 S 6th Ave,4.3,4.1,6th,5,85713
Micha's Restaurant,2908 S 4th Ave,4.1,3.2,4th,5,85713
Sushi Lounge,4802 S 6th Ave,4.5,4.2,6th,5,85714
Mei Hon Chinese Restaurant,1030 E Irvington Rd,4.3,3.6,Irvington,5,85714
Buffalo Bell,3756 S 6th Ave,4.6,4.1,6th,5,85713
Amigos Burgers & Beer,6372 S Nogales Hwy,4.3,4.0,Nogales,5,85706
La Bella China Restaurant,5680 S 12th Ave,4.2,3.9,12th,5,85706
Taqueria la Zeta,3050 E 36th St,4.5,5.0,36th,5,85713
Twisted Indian,1999 E Ajo Way,4.8,4.5,Ajo,5,85713
Axis Food Mart,1540 E Broadway Blvd,4.5,3.9,Broadway,5,85719
Valencia Market,330 W 29th St,4.4,0,29th,5,85713
Jerry's Market,805 E 36th St,4.1,0,36th,5,85713
Beef Master Meat Market,527 W 29th St,4.4,4.1,29th,5,85713
Henry's Market,3051 E 36th St,4.4,3.8,36th,5,85713
Sonora Market,3050 E 36th St,4.5,4.3,36th,5,85713
Park Deli and Liquor,3780 S Park Ave,3.9,3.6,Park,5,85713
Super Carniceria Mi Ranchito,5301 S Park Ave,4.3,0,Park,5,85706
Grand Market,6250 S 6th Ave,4.1,0,6th,5,85706
Villa's Market,6221 S Campbell Ave,4.6,4.1,Campbell,5,85706
Chihuahua Market,4870 S 12th Ave,3.7,0,12th,5,85714
Qn Market,5242 S 12th Ave,4.3,0,12th,5,85706
Mexico Lindo,50 W Valencia Rd,4.4,2.9,Valencia,5,85706
Sushi-Cho Restaurant,1830 E Broadway Blvd,4.5,3.9,Broadway,5,85719
Trader Joes,"4766 E Grant Rd, Tucson, AZ 85712",4.6,4.3,E Grant Rd,6,85712
Starbucks,"4702 E Grant Rd, Tucson, AZ 85712",4.2,2.9,E Grant Rd,6,85712
Walgreens,"4685 E Grant Rd, Tucson, AZ 85712",2.9,2.1,E Grant Rd,6,85712
Filiberto's Mexican Food,"4011 E Grant Rd, Tucson, AZ 85712",3.9,2.8,E Grant Rd,6,85712
Moon Smoke Ship,"2351 N Alvernon Way APT 151, Tucson, AZ 85712",4.6,3.7,N Alvernon Way,6,85712
Chevron,"1711 N Alvernon Way, Tucson, AZ 85712",4.1,0,N Alvernon Way,6,85712
Nail Zone,"3955 E Speedway Blvd suite 103, Tucson, AZ 85712",4.6,4.5,E Speedway Blvd,6,85712
Tucson Fast Local Plumbers Corp,"3333 E Speedway Blvd #1200, Tucson, AZ 85716",4.8,0,E Speedway Blvd,6,85716
McDonald's,"1711 E Speedway Blvd, Tucson, AZ 85719",3.5,1.6,E Speedway Blvd,6,85719
Mojo Cuban Kitchen and Rum Bar,"1929 E Grant Rd, Tucson, AZ 85719",4.6,4.5,E Grant Rd,6,85719
Choice Greens,"2829 E Speedway Blvd, Tucson, AZ 85716",4.5,4,E Speedway Blvd,6,85716
The UPS Store,"1830 E Broadway Blvd #124, Tucson, AZ 85719",4.3,4.5,E Broadway Blvd,6,85719
Del Taco,"840 E Broadway Blvd, Tucson, AZ 85719",3.9,2.5,E Broadway Blvd,6,85719
In-N-Out,"3711 E Broadway Blvd, Tucson, AZ 85716",4.5,3.9,E Broadway Blvd,6,85716
Crave Coffee Bar,"4530 E Broadway Blvd, Tucson, AZ 85711",4.6,4.6,E Broadway Blvd,6,85711
Planet Fitness,"4722 E Broadway Blvd, Tucson, AZ 85711",4.5,3.3,E Broadway Blvd,6,85711
Olive Garden,"5410 E Broadway Blvd, Tucson, AZ 85711",4.3,3.3,E Broadway Blvd,6,85711
Hobby Lobby,"5555 E Broadway Blvd Suite 131, Tucson, AZ 85711",4.5,3.1,E Broadway Blvd,6,85711
Nicos,"5660 E Broadway Blvd, Tucson, AZ 85711",4.4,4,E Broadway Blvd,6,85711
Wilmot Nails,"245 S Wilmot Rd, Tucson, AZ 85711",4.4,3.6,S Wilmot Rd,6,85711
Autozone Auto Parts,"6307 E 22nd St, Tucson, AZ 85710",4.4,3.4,E 22nd Street,6,85710
Mariscos Baja Mar,"6211 E 22nd St, Tucson, AZ 85711",4.4,4.4,E 22nd Street,6,85711
Rainbow Service & Repair,"6062 E 22nd St, Tucson, AZ 85711",4.8,0,E 22nd Street,6,85711
Taqueria y Raspados Jason,"6039 E 22nd St, Tucson, AZ 85711",4.4,4.3,E 22nd Street,6,85711
Nique's Beauty Salon,"5941 E 22nd St, Tucson, AZ 85711",5,5,E 22nd Street,6,85711
Bobbie's Joe's Rug Works,"5755 E 22nd St, Tucson, AZ 85711",4.6,4.7,E 22nd Street,6,85711
Car Guru,"4373 E 22nd St, Tucson, AZ 85711",4.8,0,E 22nd Street,6,85711
Red Wing,"3829 E Broadway Blvd, Tucson, AZ 85716",4.5,4.4,E Broadway Blvd,6,85716
Portillo's Tucson,"3761 E Broadway Blvd, Tucson, AZ 85716",4.4,4.1,E Broadway Blvd,6,85716
Audi Tucson,"4646 E 22nd St, Tucson, AZ 85711",4.4,4.1,E 22nd Street,6,85711
Starbucks,"4702 E Grant Rd, Tucson, AZ 85712",4.2,2.9,E Grant Rd,6,85712